Episode,Reward,Final Stack,Loss
925,260,270,109795.828125
926,-510,0,117202.0234375
927,-20,990,137244.21875
928,500,520,134926.296875
929,270,280,142543.125
930,-260,10,133054.75
931,-20,990,120493.28125
932,-60,980,136252.4375
933,-470,70,134173.359375
934,-250,990,156394.203125
935,-20,980,132660.03125
936,-20,970,148751.046875
937,-520,960,118027.71875
938,-980,10,139669.0625
939,-510,990,139626.140625
940,-400,980,103234.59375
941,20,990,166049.25
942,-120,980,108549.671875
943,-650,10,117083.75
944,-510,990,131273.03125
945,-510,980,94044.34375
946,-540,10,130139.84375
947,20,1010,137811.40625
948,-70,1000,110783.6953125
949,-20,990,153266.828125
950,500,520,136312.40625
951,-20,510,135073.890625
952,-50,500,114772.140625
953,-660,10,156397.234375
954,1000,1010,123831.84375
955,1000,1020,94057.546875
956,-510,1010,111941.4375
957,1000,1020,124120.921875
958,520,530,171082.53125
959,-280,20,129554.8046875
960,-240,990,162909.765625
961,-510,0,96440.8125
962,-40,990,170434.015625
963,20,1000,113980.90625
964,20,1010,126049.8046875
965,-20,1000,176472.453125
966,-240,990,177676.90625
967,500,520,172985.515625
968,-20,510,137477.3125
969,260,280,135394.703125
970,-170,10,154545.625
971,-350,990,142071.703125
972,-990,20,165335.515625
973,-20,990,167227.890625
974,500,520,177113.828125
975,410,420,125841.921875
976,220,230,155955.171875
977,255,255,146572.984375
978,-20,245,164594.859375
979,20,255,155948.96875
980,130,155,156483.203125
981,-120,145,197509.5625
982,-550,15,126304.9609375
983,510,520,139646.84375
984,270,280,131957.421875
985,150,160,135619.09375
986,-550,10,165789.71875
987,990,1000,150416.4375
988,-310,990,114394.7421875
989,500,520,119224.921875
990,270,280,141180.3125
991,-340,10,129247.53125
992,510,520,167874.125
993,-20,510,142179.015625
994,-280,20,131516.578125
995,510,520,154524.96875
996,480,490,160123.328125
997,250,270,142725.34375
998,-240,260,109648.6796875
999,-280,10,172144.03125
1000,510,520,170447.25
1001,270,280,167733.765625
1002,150,160,127412.4921875
1003,90,100,132684.3125
1004,-460,990,184314.859375
1005,20,1000,153423.265625
1006,510,520,112259.7265625
1007,270,280,177905.0
1008,-160,10,162681.640625
1009,360,670,184326.96875
1010,350,370,117487.8671875
1011,190,210,148710.09375
1012,-240,20,169558.875
1013,-20,990,174620.5
1014,-1000,20,136266.0
1015,-510,10,152388.6875
1016,510,520,163956.71875
1017,270,280,195616.1875
1018,40,270,144637.671875
1019,230,230,147068.09375
